System,FountainType,Position,Painted,GISPropNum,PropName,OMPPropID,Borough,FountainCount,Department,District,FeatureStatus,Point
B161-DF0456,C,"Under Tree, In Playground",YES,B161,James Forten Playground,B161,B,1,B-08,C-Underhill Playground,Active,POINT (-73.965708 40.676574)
B044-DF0319,E,Out in Open,YES,B044,Dr. Ronald McNair Park,B044,B,1,B-09,E-Dr. Ronald McNair Park,Active,POINT (-73.961963 40.671014)
Q103-DF0625,C,In Playground,YES,Q103,Raymond O’Connor Park,Q103,Q,1,Q-11,C-Raymond O'Connor Park,Active,POINT (-73.779351 40.770976)
R043-DF0173,D,Out in Open,NO,R043,Lyons Pool,R043,R,1,R-01,D-Lyons Pool,Active,POINT (-74.073792 40.637205)
M063-DF0341,F High Low,"In Playground, Near Ballfield",YES,M063,Gertrude Ederle Recreation Center,M063,M,2,M-07,F High Low-Gertrude Ederle Recreation Center,Active,POINT (-73.988616 40.771345)
B146-DF0789,C,Near Ballfield,,B146,Quaker Parrot Park at the Dust Bowl,B146,B,1,B-10,C-Quaker Parrot Park at the Dust Bowl,Active,POINT (-74.013411 40.632307)
B068-DF0339,E,"Under Tree, In Shade, In Playground",YES,B068,Parade Ground,B068-01,B,1,B-14,E-Parade Ground-Detective Dillon Stewart Plgd,Active,POINT (-73.965178 40.651064)
Q092-DF0489,A,Near Ballfield,YES,Q092,Police Officer Edward Byrne Park,Q092,Q,1,Q-10,A-Police Officer Edward Byrne Park,Active,POINT (-73.807724 40.667133)
M058-DF0501,D,"Under Tree, Just Outside Playground, Near Ballfield",NO,M058,Marcus Garvey Park,M058-ZN02,M,1,M-11,D-Marcus Garvey Park-Marcus Garvey Park Zone 2,Active,POINT (-73.942736 40.803352)
X092-DF0227,A,Near Ballfield,YES,X092,Van Cortlandt Park,X092-ZN11,X,1,X-13,A-Van Cortlandt Park-Indian Memorial To Indian Field,Active,POINT (-73.878247 40.895932)
B330-DF0557,D,"Out in Open, Near Ballfield",NO,B330,Hickman Playground,B330,B,1,B-18,D-Hickman Playground,Active,POINT (-73.912841 40.62054)
Q099-DF0285,C,Out in Open,NO,Q099,Flushing Meadows Corona Park,Q099-ZN14,Q,1,Q-15,C-Flushing Meadows Corona Park-North Lawn,Active,POINT (-73.840544 40.748435)
M132-DF0291,A,"Under Tree, Just Outside Playground",NO,M132,Little Flower Playground,M132,M,1,M-03,A-Little Flower Playground,Active,POINT (-73.987928 40.712595)
B169-DF0576,E,Out in Open,NO,B169,Coney Island Beach & Boardwalk,B169-ZN07A,B,1,B-13,E-Coney Island Beach & Boardwalk-Coney Island Beach Zone 7a,Active,POINT (-73.991794 40.571519)
B270-DF1093,Indoor Drinking Fountain,Indoor,,B270,Brownsville Playground,B270-BLG1185,B,1,B-16,Indoor Drinking Fountain-Brownsville Playground-Recreation Center,Active,POINT (-73.902784 40.656223)
Q082-DF0098,A,In Playground,NO,Q082,Wayanda Park,Q082,Q,1,Q-13,A-Wayanda Park,Active,POINT (-73.738688 40.710859)
