InspectionID,PRNumber,PR Overall Condition,PR Litter,PR Graffiti,PR Amenities,PR Structural
185236,1,A,A,A,A,A
185236,2,A,A,A,A,A
185244,1,A,A,A,A,A
185251,1,N,N,N,N,N
185256,1,N,N,N,N,N
185186,1,A,A,A,A,A
185190,1,A,A,A,A,A
185194,1,N,N,N,N,N
185198,1,U,U/S,A,U,A
185199,1,A,A,A,A,A
185201,1,A,A,A,A,A
185202,1,A,A,A,A,A
185203,1,A,A,A,A,A
185206,1,A,A,A,A,U
185209,1,A,A,A,A,A
185211,1,A,A,A,A,A
185217,1,A,A,A,A,A
185219,1,A,A,A,A,A
185145,1,A,A,A,A,A
185147,1,A,A,A,A,A
185149,1,A,A,A,A,A
185152,1,A,A,A,A,A
185154,1,A,A,A,A,A
185155,1,A,A,A,A,A
185159,1,A,A,A,A,A
185166,1,A,A,A,A,A
185170,1,A,A,A,A,U
185171,1,U,A,A,A,U
185176,1,A,A,A,A,A
185109,1,N,A,N,U,N
185110,1,N,A,N,A,N
185113,1,N,A,N,A,N
185114,1,N,N,N,N,N
185115,1,N,U,N,A,N
185116,1,A,A,A,A,A
185117,2,N,A,N,A,N
185121,1,A,A,A,A,A
185132,1,A,A,A,A,A
185133,1,A,A,A,A,A
185134,1,A,A,A,A,A
185135,1,A,A,A,A,A
185141,1,A,A,A,A,A
185102,1,N,A,N,A,N
185104,2,N,A,N,A,N
185104,1,N,A,N,A,N
185105,1,N,A,N,A,N
185099,1,N,A,N,A,N
185100,1,N,A,N,A,N
185096,1,U,N,N,N,N
185082,1,A,A,A,A,A
185087,1,A,A,A,A,A
185088,1,U,A,A,A,U
185092,1,A,A,A,A,A
185060,1,A,A,A,A,A
185065,1,A,A,A,A,A
185066,1,A,A,A,A,A
185073,1,U,A,A,A,U/S
185074,1,A,N,N,N,N
185075,1,A,A,A,A,A
185076,1,A,A,A,A,A
185077,1,A,A,A,A,A
185032,1,A,A,A,A,A
185037,1,A,A,A,A,A
185040,1,N,N,N,N,N
185049,1,N,A,N,A,N
185050,1,A,A,A,U,A
185052,1,A,A,A,A,A
185010,1,N,A,N,A,N
185010,2,N,A,N,A,N
185011,1,N,A,N,A,N
185012,1,N,A,N,A,N
185012,2,N,N,N,N,N
185013,1,N,A,N,A,N
185015,1,N,A,N,A,N
185016,1,N,A,N,A,N
185020,1,N,A,N,A,N
184960,1,A,A,A,A,A
184961,1,A,A,A,A,A
184969,1,A,A,A,A,A
184970,1,A,A,A,A,U
184976,1,A,A,A,A,A
184939,1,N,N,N,N,N
184940,1,A,A,A,A,A
184943,1,A,A,A,A,A
184944,1,A,A,A,U,A
184947,1,A,A,A,A,A
184949,1,A,A,A,A,A
184950,1,A,A,A,A,A
184952,1,A,A,A,A,A
184953,1,A,A,A,A,A
184957,1,A,A,A,A,A
184915,1,A,A,A,A,A
184916,1,A,A,A,A,A
184918,1,A,A,A,A,A
184921,1,A,A,A,A,A
184925,1,A,A,A,A,A
184926,1,A,A,A,U,A
184930,1,N,N,N,N,N
184895,1,N,A,N,A,N
184895,2,N,N,N,N,N
184898,1,N,A,N,A,N
184900,1,N,A,N,A,N
184900,2,N,A,N,A,N
184901,1,N,A,N,A,N
184902,1,N,N,N,N,N
184903,1,N,A,N,A,N
184904,1,N,A,N,A,N
184890,1,N,A,N,A,N
184891,1,N,A,N,A,N
184893,1,N,A,N,A,N
184894,1,N,A,N,A,N
184880,1,A,A,A,A,A
184882,1,A,A,A,A,A
184887,1,A,A,A,A,A
184889,1,A,A,A,A,A
184841,1,A,A,A,U,A
184849,1,A,A,A,A,A
184852,1,A,A,A,U,A
184855,1,A,A,A,A,A
184859,1,A,A,A,A,A
184861,1,A,A,A,A,A
184864,1,A,A,A,A,A
184865,1,A,A,A,A,A
184872,1,A,A,A,A,A
184873,1,A,A,A,A,A
184815,1,A,A,A,A,A
184820,1,N,N,N,N,N
184821,1,A,A,A,A,A
184821,2,A,A,A,A,A
184823,1,A,A,A,A,A
184827,1,A,A,A,A,A
184830,1,A,A,A,A,A
184838,1,U,N,N,N,N
184763,1,N,A,N,A,N
184765,1,N,A,N,A,N
184767,1,N,N,N,N,N
184770,1,A,A,A,A,A
184773,1,A,A,A,U,A
184775,1,A,A,A,A,A
184776,1,U,N,N,N,N
184779,1,A,A,A,A,A
184780,1,U,A,A,A,A
184785,1,A,A,A,A,A
184786,1,N,A,N,A,N
184787,1,A,A,A,A,A
184788,1,A,A,A,A,A
184790,1,N,A,N,A,N
184791,1,N,A,N,A,N
184794,1,A,A,A,U,A
184796,1,A,A,A,A,A
184797,1,A,A,A,A,A
184805,1,A,A,A,A,A
184806,1,A,A,A,A,A
184759,1,N,N,N,N,N
184750,1,N,A,N,A,N
