name,maintenance_funding,designated_private_funding,acreage,amenities,borough,athletic_facilities,beaches,comfort_stations,natural_areas,playgrounds,trails
Morningside Park,122153,0,29.89,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Great Kills Park,113359,0,315.09,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Manhattan Beach Park,146464,0,42.94,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Fort Greene Park,346103,0,30.17,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Kaiser Park,183463,0,26.259999999999998,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Riverdale Park,2874,0,144.29,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
College Point Fields,36400,0,26.830000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
St. Nicholas Park,134684,0,22.74,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Macombs Dam Park,99005,0,44.17,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Sunset Park,123099,1000,24.5,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Owl's Head Park,123889,0,24.22,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Fort Totten Park,116380,0,60.39,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Springfield Park,51683,0,23.54,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Freshkills Park,29455,0,920.43,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
King Fisher Park,5109,0,23.01,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Siedenburg Park,4841,0,22.88,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Lincoln Terrace / Arthur S. Somers Park,162484,0,17.14,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Battery Park City,6084,0,28.43,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Macneil Park,43074,0,28.87,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Goodhue Park,7771,0,26.53,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Asser Levy Park,51064,0,21.04,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Seaside Wildlife Nature Park,8964,0,20.91,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
The Battery,45736,1358909,21.88,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Marcus Garvey Park,215096,0,20.17,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Queensbridge Park,120887,5500,20.34,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Williamsbridge Oval,101609,0,19.75,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Coney Island Boat Basin,9750,0,36.809999999999995,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Broad Channel American Park,7571,0,18.77,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Eastern Parkway,91904,0,63.64,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Theodore Roosevelt Park,70319,0,17.58,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Bensonhurst Park,228093,0,17.5,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Powell's Cove Park,10088,0,55.02,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
