KioskID,Borough,ParkDistrict,GISPropNum,OMPPropID,PropertyName,SubPropertyName,Location,KioskType,Submodel,ContainerSize,Status,InstallationDate,Remove Date,Removal Reason,Status Change Date,Point
35,Bronx,X-04,X047,X047-ZN01,Franz Sigel Park,Franz Sigel Park Zone 1,Walton Ave and E 153 St,Outdoor Wall Mount,Mailbox/wall,2 gallon,Active,2018-08-19 04:00:00.0000000,,,,POINT (-73.92652857027669 40.822846719250144)
4,Bronx,X-04,X008,X008-01,Claremont Park,Claremont Park-Claremont Park,"Adj. handball court, near Clay Ave and Andrew Robinson Place",Indoor Wall Mount,Bathroom,1.5 gallon,Active,2018-06-02 04:00:00.0000000,,,,POINT (-73.90801457543186 40.837693715719375)
60,Manhattan,M-12A,M037,M037-ZN07,Highbridge Park,Highbridge Park Zone 7,E 181 St and Amsterdam Ave,Outdoor Post Mount,Mailbox/post,2 gallon,Active,2021-08-27 04:00:00.0000000,,,,POINT (-73.93003430358391 40.84728959452695)
38,Bronx,X-01,X045,X045-ZN03,St. Mary's Park,St Mary's Park Zone 3,Trinity Ave and E 147 St north of walkway,Outdoor Post Mount,Mailbox/post,2 gallon,Active,2018-09-01 04:00:00.0000000,,,,POINT (-73.91104309584195 40.81230816095542)
3,Bronx,X-04,X008,X008-01,Claremont Park,Claremont Park-Claremont Park,"Adj. handball court, near Clay Ave and Andrew Robinson Place",Indoor Wall Mount,Mailbox/post,1.5 gallon,Active,2018-06-02 04:00:00.0000000,,,,POINT (-73.9080123049033 40.83764310614098)
45,Bronx,X-06,X010A,X010A,Walter Gladwin Park,Walter Gladwin Park,"Under tree on north side of hill area, just south of entrance plaza",Outdoor Wall Mount,Mailbox/wall,2 gallon,Removed,2018-09-01 04:00:00.0000000,,Vandalism,,POINT (-73.89599839839856 40.845819394098825)
37,Bronx,X-01,X045,X045,St. Mary's Park,St. Mary's Park,Trinity Ave and E 147 St south of walkway,Outdoor Post Mount,Mailbox/post,2 gallon,Active,2018-09-01 04:00:00.0000000,,Construction,,POINT (-73.91140720526654 40.81157195109912)
63,Manhattan,M-12A,M037,M037-ZN07,Highbridge Park,Highbridge Park Zone 7,E 181 St and Amsterdam Ave,Outdoor Post Mount,Mailbox/post,2 gallon,Active,2021-08-27 04:00:00.0000000,,,,POINT (-73.9303625273554 40.84741695436631)
62,Manhattan,M-12A,M037,M037-ZN07,Highbridge Park,Highbridge Park Zone 7,E 181 St and Amsterdam Ave,Outdoor Post Mount,Mailbox/post,2 gallon,Active,2021-08-27 04:00:00.0000000,,,,POINT (-73.92943797262525 40.84696947814358)
12,Bronx,X-01,X217,X217,Willis Playground,Willis Playground,"E 139 St, E 140 St, Willis and Alexander Aves",Indoor Wall Mount,Bathroom,1.5 gallon,Active,2021-03-01 05:00:00.0000000,,,,POINT (-73.92265388965716 40.81133677252811)
23,Bronx,X-03,X010,X010-12,Crotona Park,Crotona Park-Bathgate Playground,"Crotona Bathgate Plgd, Fulton Ave. & E 173 St.",Indoor Wall Mount,Bathroom,1.5 gallon,Active,2018-06-02 04:00:00.0000000,,,,POINT (-73.89769492872426 40.84066917439288)
8,Bronx,X-04,X168,X168,Nelson Playground,Nelson Playground,W 166 St and Nelson Ave,Indoor Wall Mount,Bathroom,1.5 gallon,Active,2018-06-02 04:00:00.0000000,,,,POINT (-73.92658756848269 40.83500171710657)
